Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Customer ID    Arrival Time   Service Time   Queue Loc   Teller Loc  Time Serv Beg  Time Cust Waits  Time Serv Ends Total Time     
211            429.03         1.04           0           1           442.27         13.23            443.31         14.27          
212            429.52         4.29           0           1           443.31         13.79            447.60         18.08          
213            435.49         4.62           0           2           444.63         9.14             449.25         13.76          
214            435.83         3.29           0           3           447.37         11.54            450.66         14.83          
215            438.01         24.35          0           0           447.44         9.42             471.79         33.78          
216            438.18         1.72           0           1           447.60         9.42             449.33         11.15          
217            438.44         2.15           0           2           449.25         10.81            451.41         12.97          
218            439.27         6.20           0           1           449.33         10.06            455.52         16.26          
219            439.42         2.55           0           3           450.66         11.23            453.20         13.78          
222            442.75         2.90           0           2           451.41         8.66             454.31         11.56          
223            446.08         11.39          0           3           453.20         7.12             464.59         18.51          
224            447.90         17.43          0           2           454.31         6.41             471.74         23.85          
225            451.06         3.35           0           1           455.52         4.46             458.87         7.81           
226            451.45         2.51           0           1           458.87         7.42             461.38         9.92           
227            458.20         1.23           0           1           461.38         3.18             462.61         4.41           
228            458.48         5.87           0           1           462.61         4.13             468.49         10.00          
229            463.57         3.89           0           3           464.59         1.02             468.48         4.91           
230            467.07         2.35           0           3           468.48         1.42             470.84         3.77           
231            468.52         3.03           -1          1           468.52         0.00             471.54         3.03           
232            474.61         0.41           -1          0           474.61         0.00             475.02         0.41           
233            476.08         4.20           -1          0           476.08         0.00             480.29         4.20           
234            476.39         4.24           -1          1           476.39         0.00             480.63         4.24           
235            477.21         3.09           -1          2           477.21         0.00             480.31         3.09           
236            478.48         2.86           -1          3           478.48         0.00             481.34         2.86           

Customers who did not stay: 
Customer ID    Arrival Time   
182            377.64         
183            379.39         
184            380.00         
187            387.70         
209            423.41         
220            440.12         
221            440.47         

Number of queues: 1
Max allowed to wait: 10
Customer arrival rate (per hour): 30.0
Customer service time (ave min): 6.0
Number of customers arrived: 237
Number of customers serviced: 230
Number of customers turned away: 7
Number of customers who waited: 100
Avg. wait time total: 3.4892340802627726
Maximum wait time: 22.4738877709367
Standard Deviation of wait time: 7.904678241673441
Avg. service time of customers: 6.0177357449439155
Avg. wait of customers who waited in a queue: 8.025238384604377
Avg. total time in bank: 9.5069698252067
Teller 0 serviced 57 customers
Teller 1 serviced 74 customers
Teller 2 serviced 63 customers
Teller 3 serviced 36 customers


Customer ID    Arrival Time   Service Time   Queue Loc   Teller Loc  Time Serv Beg  Time Cust Waits  Time Serv Ends Total Time     
0              0.64           5.83           -1          0           0.64           0.00             6.47           5.83           
1              9.54           13.82          -1          0           9.54           0.00             23.36          13.82          
2              11.54          2.75           -1          1           11.54          0.00             14.29          2.75           
3              15.28          1.15           -1          1           15.28          0.00             16.43          1.15           
4              19.16          1.80           -1          1           19.16          0.00             20.96          1.80           
5              23.07          2.84           -1          1           23.07          0.00             25.91          2.84           
6              26.06          9.11           -1          0           26.06          0.00             35.17          9.11           
7              26.34          2.54           -1          1           26.34          0.00             28.88          2.54           
8              26.88          11.71          -1          2           26.88          0.00             38.59          11.71          
9              27.21          9.03           -1          3           27.21          0.00             36.24          9.03           
10             27.67          0.84           0           0           35.17          7.50             36.01          8.33           
11             28.24          2.56           1           1           28.88          0.63             31.44          3.20           
12             31.81          7.26           -1          1           31.81          0.00             39.07          7.26           
13             33.70          5.43           1           1           39.07          5.37             44.50          10.80          
14             35.70          0.42           0           0           36.01          0.31             36.43          0.73           
15             37.50          0.45           -1          0           37.50          0.00             37.95          0.45           
16             37.68          0.59           -1          3           37.68          0.00             38.27          0.59           
17             37.68          1.90           0           0           37.95          0.27             39.85          2.17           
18             38.16          25.27          0           0           39.85          1.69             65.12          26.96          
19             40.08          17.39          -1          2           40.08          0.00             57.46          17.39          
20             45.30          4.14           -1          1           45.30          0.00             49.44          4.14           
21             45.45          5.10           -1          3           45.45          0.00             50.56          5.10           
22             48.59          15.44          0           0           65.12          16.53            80.56          31.97          
23             51.08          7.27           -1          1           51.08          0.00             58.35          7.27           
24             51.58          0.03           -1          3           51.58          0.00             51.60          0.03           
25             53.28          17.39          -1          3           53.28          0.00             70.67          17.39          
26             54.94          0.20           1           1           58.35          3.41             58.56          3.62           
27             56.02          1.17           2           2           57.46          1.44             58.63          2.61           
28             57.03          14.78          3           3           70.67          13.64            85.45          28.42          
29             57.82          0.89           2           2           58.63          0.81             59.53          1.70           
30             60.13          3.21           -1          1           60.13          0.00             63.34          3.21           
31             62.15          1.75           -1          2           62.15          0.00             63.90          1.75           
32             63.19          7.05           1           1           63.34          0.15             70.39          7.21           
33             65.07          3.38           -1          2           65.07          0.00             68.46          3.38           
34             67.72          2.63           0           0           80.56          12.85            83.19          15.48          
35             68.76          6.73           -1          2           68.76          0.00             75.49          6.73           
36             68.85          4.07           1           1           70.39          1.55             74.47          5.62           
37             69.87          8.01           2           2           75.49          5.63             83.50          13.63          
38             70.15          9.42           0           0           83.19          13.05            92.61          22.46          
39             70.20          15.68          1           1           74.47          4.26             90.14          19.94          
40             75.56          0.28           1           1           90.14          14.58            90.43          14.86          
41             76.62          0.73           2           2           83.50          6.88             84.23          7.62           
42             76.85          0.58           3           3           85.45          8.60             86.03          9.18           
43             78.55          2.22           1           1           90.43          11.88            92.65          14.10          
44             79.80          6.02           2           2           84.23          4.44             90.25          10.45          
45             80.30          3.89           3           3           86.03          5.73             89.91          9.62           
46             82.66          15.01          0           0           92.61          9.95             107.62         24.96          
47             84.08          12.00          0           0           107.62         23.54            119.62         35.54          
48             88.29          19.42          2           2           90.25          1.96             109.67         21.38          
49             89.82          3.79           3           3           89.91          0.09             93.70          3.88           
50             94.82          5.23           -1          1           94.82          0.00             100.06         5.23           
51             94.84          0.60           -1          3           94.84          0.00             95.44          0.60           
52             95.82          4.98           -1          3           95.82          0.00             100.81         4.98           
53             96.31          9.66           1           1           100.06         3.75             109.72         13.42          
54             96.33          0.10           2           2           109.67         13.34            109.77         13.44          
55             97.61          11.19          3           3           100.81         3.20             112.00         14.39          
56             98.40          14.69          0           0           119.62         21.23            134.31         35.91          
57             105.40         8.59           1           1           109.72         4.32             118.31         12.91          
58             105.73         0.42           3           3           112.00         6.27             112.42         6.69           
59             110.08         0.14           -1          2           110.08         0.00             110.22         0.14           
60             110.53         15.96          -1          2           110.53         0.00             126.49         15.96          
61             110.61         14.11          1           1           118.31         7.69             132.42         21.80          
62             114.26         0.73           -1          3           114.26         0.00             114.99         0.73           
63             117.25         12.99          -1          3           117.25         0.00             130.25         12.99          
64             120.93         5.90           0           0           134.31         13.38            140.21         19.28          
65             121.79         4.38           1           1           132.42         10.63            136.79         15.01          
66             122.17         0.01           2           2           126.49         4.32             126.50         4.33           
67             123.44         0.72           3           3           130.25         6.80             130.97         7.53           
68             124.15         6.39           0           0           140.21         16.06            146.60         22.45          
69             126.30         3.72           1           1           136.79         10.50            140.52         14.22          
70             126.35         3.40           2           2           126.50         0.15             129.90         3.55           
71             126.52         0.30           2           2           129.90         3.38             130.20         3.68           
72             127.25         19.99          2           2           130.20         2.96             150.19         22.94          
73             127.64         5.14           3           3           130.97         3.33             136.11         8.47           
74             128.01         6.45           0           0           146.60         18.59            153.05         25.04          
75             128.06         7.26           1           1           140.52         12.45            147.77         19.71          
77             131.15         6.26           2           2           150.19         19.04            156.45         25.30          
78             137.12         1.41           -1          3           137.12         0.00             138.52         1.41           
79             138.70         0.70           -1          3           138.70         0.00             139.40         0.70           
80             140.95         0.41           -1          3           140.95         0.00             141.36         0.41           
81             143.70         11.26          -1          3           143.70         0.00             154.96         11.26          
82             148.63         9.61           -1          1           148.63         0.00             158.24         9.61           
83             149.26         0.22           0           0           153.05         3.79             153.27         4.00           
84             154.19         11.79          -1          0           154.19         0.00             165.98         11.79          
85             155.08         8.84           -1          3           155.08         0.00             163.92         8.84           
86             159.22         4.19           -1          1           159.22         0.00             163.40         4.19           
87             164.44         13.09          -1          1           164.44         0.00             177.54         13.09          
88             168.91         16.20          -1          0           168.91         0.00             185.11         16.20          
89             169.95         4.25           -1          2           169.95         0.00             174.20         4.25           
90             171.78         0.33           -1          3           171.78         0.00             172.11         0.33           
91             173.82         2.90           -1          3           173.82         0.00             176.72         2.90           
92             174.61         12.70          -1          2           174.61         0.00             187.32         12.70          
93             177.29         5.43           -1          3           177.29         0.00             182.71         5.43           
94             178.24         4.26           -1          1           178.24         0.00             182.50         4.26           
95             180.62         7.30           0           0           185.11         4.49             192.40         11.79          
96             180.74         21.24          1           1           182.50         1.76             203.74         23.00          
97             183.68         1.04           -1          3           183.68         0.00             184.72         1.04           
98             185.45         4.55           -1          3           185.45         0.00             190.00         4.55           
99             187.45         4.44           -1          2           187.45         0.00             191.89         4.44           
100            198.74         13.92          -1          0           198.74         0.00             212.66         13.92          
101            198.79         6.59           -1          2           198.79         0.00             205.38         6.59           
102            200.06         17.18          -1          3           200.06         0.00             217.24         17.18          
103            205.22         4.32           -1          1           205.22         0.00             209.55         4.32           
104            206.06         9.67           -1          2           206.06         0.00             215.72         9.67           
105            207.23         0.40           0           0           212.66         5.43             213.05         5.83           
106            212.42         2.44           -1          1           212.42         0.00             214.87         2.44           
107            218.41         1.09           -1          0           218.41         0.00             219.50         1.09           
108            218.92         3.40           -1          1           218.92         0.00             222.32         3.40           
109            219.31         7.52           -1          2           219.31         0.00             226.83         7.52           
110            219.58         4.81           -1          0           219.58         0.00             224.39         4.81           
111            221.11         4.56           -1          3           221.11         0.00             225.67         4.56           
112            224.65         4.20           -1          0           224.65         0.00             228.85         4.20           
113            224.88         3.04           -1          1           224.88         0.00             227.92         3.04           
114            230.06         13.60          -1          0           230.06         0.00             243.66         13.60          
115            230.78         5.33           -1          1           230.78         0.00             236.12         5.33           
116            232.04         7.28           -1          2           232.04         0.00             239.32         7.28           
117            233.91         5.60           -1          3           233.91         0.00             239.50         5.60           
118            234.58         20.33          0           0           243.66         9.08             263.99         29.41          
119            234.85         18.26          1           1           236.12         1.27             254.38         19.53          
120            235.29         1.18           2           2           239.32         4.03             240.50         5.21           
121            237.70         0.80           1           1           254.38         16.68            255.18         17.48          
122            242.49         10.86          -1          2           242.49         0.00             253.35         10.86          
123            245.55         2.17           -1          3           245.55         0.00             247.72         2.17           
124            246.10         11.67          0           0           263.99         17.89            275.66         29.56          
125            246.18         9.50           2           2           253.35         7.18             262.85         16.68          
126            248.54         2.48           -1          3           248.54         0.00             251.02         2.48           
127            255.07         1.55           -1          3           255.07         0.00             256.63         1.55           
128            258.78         7.80           -1          1           258.78         0.00             266.58         7.80           
129            258.84         3.43           -1          3           258.84         0.00             262.27         3.43           
130            258.89         11.97          1           1           266.58         7.69             278.55         19.66          
131            259.41         0.11           2           2           262.85         3.45             262.97         3.56           
132            259.92         4.17           3           3           262.27         2.35             266.44         6.52           
133            264.20         19.26          -1          2           264.20         0.00             283.46         19.26          
134            265.18         31.25          0           0           275.66         10.48            306.91         41.73          
135            266.99         0.80           -1          3           266.99         0.00             267.79         0.80           
136            268.24         2.88           -1          3           268.24         0.00             271.12         2.88           
137            273.39         5.00           -1          3           273.39         0.00             278.39         5.00           
138            273.50         0.21           1           1           278.55         5.05             278.77         5.27           
139            275.78         9.63           0           0           306.91         31.13            316.54         40.76          
140            276.81         8.35           2           2           283.46         6.65             291.80         14.99          
141            279.04         0.09           -1          1           279.04         0.00             279.13         0.09           
142            282.29         10.57          -1          1           282.29         0.00             292.86         10.57          
143            284.23         1.89           -1          3           284.23         0.00             286.13         1.89           
144            284.61         16.77          1           1           292.86         8.25             309.63         25.02          
145            288.29         4.35           -1          3           288.29         0.00             292.64         4.35           
146            289.02         2.75           2           2           291.80         2.79             294.55         5.54           
147            290.59         2.56           3           3           292.64         2.05             295.20         4.61           
148            291.14         7.71           0           0           316.54         25.40            324.24         33.11          
149            292.21         16.99          2           2           294.55         2.35             311.54         19.33          
150            294.82         16.62          1           1           309.63         14.81            326.25         31.43          
151            296.43         13.79          -1          3           296.43         0.00             310.22         13.79          
152            296.62         0.63           2           2           311.54         14.92            312.17         15.56          
153            297.29         4.51           3           3           310.22         12.93            314.73         17.43          
154            299.23         3.56           1           1           326.25         27.02            329.81         30.59          
155            300.00         40.69          2           2           312.17         12.17            352.86         52.86          
156            303.39         3.19           3           3           314.73         11.34            317.92         14.53          
157            303.69         4.28           0           0           324.24         20.55            328.52         24.83          
158            304.27         6.79           1           1           329.81         25.55            336.61         32.34          
162            307.33         3.75           0           0           328.52         21.19            332.27         24.94          
166            310.27         4.45           3           3           317.92         7.64             322.37         12.09          
167            311.37         13.48          1           1           336.61         25.23            350.09         38.71          
168            312.74         1.97           2           2           352.86         40.12            354.84         42.10          
169            314.26         5.16           2           2           354.84         40.58            359.99         45.74          
172            314.91         1.68           3           3           322.37         7.46             324.05         9.14           
175            316.72         2.73           0           0           332.27         15.55            335.01         18.29          
176            322.78         8.52           3           3           324.05         1.27             332.57         9.79           
177            324.52         9.11           3           3           332.57         8.05             341.68         17.17          
178            325.94         1.85           3           3           341.68         15.75            343.54         17.60          
179            326.38         12.82          0           0           335.01         8.62             347.83         21.45          
180            327.50         4.77           1           1           350.09         22.58            354.86         27.35          
181            328.90         2.98           0           0           347.83         18.93            350.82         21.91          
182            333.80         19.37          3           3           343.54         9.74             362.90         29.11          
183            334.36         0.69           0           0           350.82         16.45            351.50         17.14          
184            336.96         9.73           1           1           354.86         17.90            364.59         27.63          
185            337.14         0.29           0           0           351.50         14.37            351.79         14.65          
186            338.94         3.07           1           1           364.59         25.65            367.66         28.72          
189            341.78         3.92           3           3           362.90         21.13            366.82         25.05          
190            348.95         6.27           3           3           366.82         17.88            373.09         24.14          
191            349.14         20.88          0           0           351.79         2.65             372.67         23.53          
193            351.58         8.89           0           0           372.67         21.09            381.56         29.99          
194            355.88         0.53           2           2           359.99         4.11             360.53         4.65           
195            357.92         1.33           0           0           381.56         23.64            382.89         24.97          
196            367.36         4.53           -1          2           367.36         0.00             371.88         4.53           
197            369.10         4.33           -1          1           369.10         0.00             373.43         4.33           
198            369.11         5.60           1           1           373.43         4.32             379.03         9.92           
